Sample	Contig	Mean
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	1_4-1387-2490-1-ID=1_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.678	0.5450734
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	3_2-429-779--1-ID=3_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.687	3.766169
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	3_3-860-1363-1-ID=3_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.694	1.2485876
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	9_2-740-1297--1-ID=9_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.754	0.7083333
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	11_1-3-1172--1-ID=11_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.614	0.5882353
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	14_1-85-1245--1-ID=14_1;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.674	3.0425322
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	16_3-2389-2763-1-ID=16_3;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.576	0.6533333
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	16_4-2792-3919--1-ID=16_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.591	0.8793456
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	18_2-688-1863-1-ID=18_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.508	0.5847953
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	19_4-1446-1967--1-ID=19_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.542	0.78494626
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	19_8-5061-5630-1-ID=19_8;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.607	1.4261905
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	23_6-3468-4112-1-ID=23_6;partial=01;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.671	0.56969696
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	27_2-543-2027--1-ID=27_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.708	4.448689
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	28_2-331-1557-1-ID=28_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.661	2.9684308
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	28_3-1712-2098--1-ID=28_3;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.649	2.5611815
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	28_4-2560-3432-1-ID=28_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.631	0.66943294
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	28_5-3493-4086--1-ID=28_5;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.672	0.6621622
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	29_1-3-1547--1-ID=29_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.539	2.1706092
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	30_1-1-396-1-ID=30_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.634	0.87398374
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	34_2-605-1351-1-ID=34_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.572	2.0201006
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	34_4-2136-3899-1-ID=34_4;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.617	0.71623296
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	38_1-1-642-1-ID=38_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.593	2.1077235
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	40_1-3-629-1-ID=40_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.654	0.7106918
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	48_1-3-176-1-ID=48_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.471	2.4583333
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	48_2-214-1110--1-ID=48_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.506	1.3668005
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	50_2-540-1205-1-ID=50_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.782	1.6802325
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	50_3-1379-1630-1-ID=50_3;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.766	2.245098
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	52_1-44-730--1-ID=52_1;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.572	0.5586592
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	52_2-727-1053--1-ID=52_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.639	1.8361582
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	58_1-146-664-1-ID=58_1;partial=00;start_type=ATG;rbs_motif=AAA;rbs_spacer=15bp;gc_cont=0.497	0.51490515
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	62_2-813-1535--1-ID=62_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.427	1.3699826
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	71_2-941-1303-1-ID=71_2;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.537	0.8169014
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	78_2-113-352-1-ID=78_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.621	2.8
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	84_1-1-684-1-ID=84_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.475	2.7977529
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	84_2-777-2705-1-ID=84_2;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.462	2.1939292
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	89_2-403-825--1-ID=89_2;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.534	1.6483517
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	91_3-1070-1882--1-ID=91_3;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.588	24.082956
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	92_2-308-1645--1-ID=92_2;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.693	3.8257575
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	101_1-3-1814--1-ID=101_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.528	0.54151624
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	104_1-3-1268-1-ID=104_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.688	0.53763443
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	112_2-742-1341-1-ID=112_2;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.600	2.7533333
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	121_2-2172-2786--1-ID=121_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.379	0.9655914
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	123_1-3-1067--1-ID=123_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.737	0.6557377
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	138_2-364-1563--1-ID=138_2;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.711	0.54761904
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	143_1-3-380--1-ID=143_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.550	0.82894737
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	160_1-72-692-1-ID=160_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.575	1.5923567
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	161_2-477-950--1-ID=161_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.597	9.842592
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	172_2-800-1375-1-ID=172_2;partial=01;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.710	0.5657277
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	189_1-2-295-1-ID=189_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.636	1.0486112
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	189_2-332-892-1-ID=189_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.645	0.6836983
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	196_3-2029-2994-1-ID=196_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.584	1.2536764
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	198_2-407-745-1-ID=198_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.534	0.7777778
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	200_2-1948-2700-1-ID=200_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.660	4.373134
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	200_3-2823-4121-1-ID=200_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.658	2.1201046
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	200_4-4114-4797-1-ID=200_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.702	1.7827716
final-all-monthly-megahit-cd.hit.orf.fna/2007-06-02_1.fastq	200_5-4961-5386-1-ID=200_5;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.655	3.1449275
