Sample	Contig	Mean
Sample2	1_6-3382-4794--1-ID=1_6;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.639	0.9501188
Sample2	3_1-1-429--1-ID=3_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.718	0.8064516
Sample2	9_1-1-735-1-ID=9_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.712	1.5418804
Sample2	14_1-85-1245--1-ID=14_1;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.674	2.387735
Sample2	16_3-2389-2763-1-ID=16_3;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.576	0.6933333
Sample2	18_2-688-1863-1-ID=18_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.508	0.8430799
Sample2	27_2-543-2027--1-ID=27_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.708	2.7940075
Sample2	28_2-331-1557-1-ID=28_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.661	1.3537605
Sample2	28_4-2560-3432-1-ID=28_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.631	2.921162
Sample2	28_5-3493-4086--1-ID=28_5;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.672	1.1013514
Sample2	29_1-3-1547--1-ID=29_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.539	1.6695341
Sample2	34_1-3-518--1-ID=34_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.647	0.5054645
Sample2	34_2-605-1351-1-ID=34_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.572	2.2562814
Sample2	34_3-1612-2100-1-ID=34_3;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.648	1.9026549
Sample2	34_4-2136-3899-1-ID=34_4;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.617	1.3853779
Sample2	35_1-287-1186-1-ID=35_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.660	1.0653334
Sample2	35_2-1682-2377--1-ID=35_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.681	1.3901099
